Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,1710111,Motor Pully Dia=200mm,pcs,1,P/N-JV- 12820/1  MK 5 C/D,,,,,,TTML,,,
,,,,1710110,Pully Dia= 120mm Deler  input,pcs,1,P/N- JV-35440/1 MK 5C/D,,,,,,TTML,,,
,,,,,Spoket with Adaptor MK 5C/D,pcs,1,,,,,,,TTML,,,
,,,,1710052,Spoket wheel -50Teeth,pcs,1,P/N- JV-4073E-2 MK 5C/D,,,,,,TTML,,,
,,,,1710051,Spoket wheel -38Teeth,pcs,1,P/N-JV-4073E-3 MK 5C/D,,,,,,TTML,,,
,,,,1710051,Coupling (MK5C/D,pcs,2,,,,,,,TTML,,,
,,,,1710059,Support wheel ,pcs,1,P/N-JV-522 E1 MK 5C/D,,,,,,TTML,,,
,,,,1710076,Screw Adjusting SM-691-21 MK 5C/D,pcs,8,(P/N-JV68996-1) MK5C/D,,,,,,TTML,,,
,,,,,Bush,pcs,2,,,,,,,TTML,,,
,,,,,Flyer Drive Gear -34Teeth(Ride side),pcs,18,,,,,,,TTML,,,
,,,,,Flyer Drive Gear -34Teeth(Left side),pcs,20,,,,,,,TTML,,,
,,,,,Coupling Front Roller,pcs,2,,,,,,,TTML,,,
,,,,,Slide,pcs,4,,,,,,,TTML,,,
,,,,,Bobbin Drive Gear 34T L- Side,pcs,10,,,,,,,TTML,,,
,,,,,Bobbin Drive Gear 34T R- Side,pcs,13,,,,,,,TTML,,,
,,,,,Helical gear Line Shape-35T Ride side,pcs,3,,,,,,,TTML,,,
,,,,,Coupling for Con Drum,pcs,4,,,,,,,TTML,,,
,,,,1716015,Helical Gear-33Teeth,Pcs,2,,,,,,,,,,
,,,,1716053,Cone Drum Plug,Pcs,3,,,,,,,,,,
,,,,,Helical Gear-33Teeth,Pcs,1,,,,,,,,,,
,,,,,Spoket wheel -19Teeth,Pcs,2,,,,,,,,,,
,,,,,MANDREL,Pcs,4,,,,,,,,,,
,,,,,P/N-2515A,,,,,,,,,,,,
,,,,,Slide Front Side ,Pcs,5,,,,,,,,,,
,,,,1716002,Helical Gear-21Teeth,Pcs,6,,,,,,,,,,
,,,,1716030,Worm Gear with Shaft -6round,Pcs,1,,,,,,,,,,
,,,,,Gear -29Teeth,Pcs,1,,,,,,,,,,
,,,,1716001,Helical Gear -20Teeth ,Pcs,5,,,,,,,,,,
,,,,,Slide for Chain,Pcs,2,,,,,,,,,,
,,,,,Timing Pully -46Teeth,Pcs,1,,,,,,,,,,
,,,,,Fiber Helical Gear -94Teeth,Pcs,2,,,,,,,,,,
,,,,,Braket for Bobbin Rail End side,Pcs,1,,,,,,,,,,
,,,,,Braket for Bobbin Rail Gear ,Pcs,1,,,,,,,,,,
,,,,,Helical Gear with shaft for Defencial G,Pcs,2,,,,,,,,,,
,,,,1716042,Fiber Helical Gear -91Teeth,Pcs,2,,,,,,,,,,
,,,,,Shaft,Pcs,3,,,,,,,,,,
,,,,,Top Con Drum Shaft Dia-40x300mm,Pcs,1,,,,,,,,,,
,,,,,Roller Stand,Pcs,6,,,,,,,,,,
,,,,,Bush for Bobbin,Pcs,20,,,,,,,,,,
,,,,,Fiber Gear Hub Assy,Pcs,1,,,,,,,,,,
,,,,,Double Anchor Bar,Pcs,2,,,,,,,,,,
,,,,,Worm Gear -60Teeth,Pcs,1,,,,,,,,,,
,,,,,worm Gear-50Teeth,Pcs,2,,,,,,,,,,
,,,,,Presser Bar ,Pcs,2,,,,,,,,,,
,,,,,Front Roller Bottom,Pcs,5,,,,,,,,,,
,,,,,Third Ruler Short ,Pcs,2,,,,,,,,,,
,,,,,Fluted Ruler OE,Pcs,1,,,,,,,,,,
,,,,,Third Ruller OE,Pcs,1,,,,,,,,,,
,,,,,Pocket Rod ,Pcs,1,,,,,,,,,,
,,,,,Back Roller Head Plug,Pcs,1,,,,,,,,,,
,,,,,Bvel Gear -47Teeth ,Pcs,2,,,,,,,,,,
,,,,,Bobing Swing Arm,Pcs,1,P/N-08674,,,,,,,,,
,,,,,Top swing Arm ,Pcs,5,P/N-1844A,,,,,,,,,
,,,,,Connecting Gear for Reversing gear-24T,Pcs,2,,,,,,,,,,
,,,,,DOG(P/N-1851),Pcs,5,,,,,,,,,,
,,,,,Bevel Gear -42Teeth,Pcs,4,,,,,,,,,,
,,,,,Tension Spring HUB Assy ,Pcs,5,,,,,,,,,,
,,,,,Coupling with Bracket,Pcs,2,,,,,,,,,,
,,,,,Bearing House -1207K,Pcs,1,,,,,,,,,,
,,,,,Middle Roller Shaft GE,Pcs,1,,,,,,,,,,
,,,,,Fiber Gear Hub Assy -103Teeth,pcs,1,,,,,,,,,,
,,,,,Fiber Gear Hub Assy -70Teeth,Pcs,1,,,,,,,,,,
,,,,,Bevel Gear -42Teeth Right side,Pcs,6,,,,,,,,,,
,,,,,Helical Gear - 31Teeth,Pcs,1,,,,,,,,,,
,,,,,Driving Shaft for Bobbin Gear with waser,Pcs,18,,,,,,,,,,
,,,,171774,Universal Joint Shaft ,Pcs,1,,,,,,,,,,
,,,,,P/N-72103-30001,,,,,,,,,,,,
800000,,,,801015,S.S wire net -40'',sft,70,,,,,,,,,,
,,,,1703028,5mm Alen key Bolt- 6x25mm,Pcs,90,,,,,,,,,,
,,,,,Star Screw-1/2'',Pcs,500,,,,,,,,,,
,,,,1707036,Syn Rubber Cots- 20x34x180,Pcs,10,,,,,,,,,,
,,,,1707036,Syn Rubber Cots- 22x36x180,Pcs,24,,,,,,,,,,
,,,,,Slide Back,Pcs,5,,,,,,,,,,
,,,,,Slide Middle,Pcs,6,,,,,,,,,,
,,,,,Bulding Rachet -25Teeth ,Pcs,4,,,,,,,,,,
,,,,,M.S. Helical Gear-16Teeth,Pcs,4,,,,,,,,,,
,,,,1713015,Reducer (H) 6x3.7,pcs,1,,,,,,,,,,
,,,,,Reducer (H) 4.1,Pcs,4,,,,,,,,,,
,,,,1713020,Helical Gear - 41Teeth,Pcs,4,,,,,,,,,,
,,,,1713010,Clear Bras Complete,Pcs,1,,,,,,,,,,
,,,,,Fiber Gear - 16Teeth,Pcs,8,,,,,,,,,,
,,,,,End Bush ,Pcs,2,,,,,,,,,,
,,,,1717084,Spring Assy Bearing Motion ,Pcs,3,,,,,,,,,,
,,,,1717085,Spring For lail Clatch,pcs,3,,,,,,,,,,
,,,,1717056,Spring For Hook Clatch,pcs,2,,,,,,,,,,
,,,,1717069,Picee stop Reversing Braket,pcs,2,,,,,,,,,,
,,,,1717064,Stud Clatch FA2301-370011-00,pcs,2,,,,,,,,,,
,,,,1717030,Front Condencer F4128/01050-00,pcs,40,,,,,,,,,,
,,,,1707055,Syn Rubber Cots -19x40x28,pcs,16,,,,,,,,,,
,,,,1713016,Speed Reduction ,pcs,1,,,,,,,,,,
800000,,,,813011,Custer wheel -2-1/2'',pcs,10,,,,,,,,,,
,,,,,Front Condencer,pcs,120,,,,,,,,,,
,,,,,Flyer Pressure,pcs,238,,,,,,,,,,
,,,,,Powl,pcs,7, (P/N-A456-18103),,,,,,,,,
,,,,,Bevel Shaped Pawl ,pcs,7,P/N-A456-18102,,,,,,,,,
,,,,1702047,V- Belt-Rope-159x160G3,pcs,4,,,,,,,,,,
,,,,1702028,Timing Belt-3048x8mx20m,pcs,3,,,,,,,,,,
,,,,1702019,Timing Belt-1600x8mx20m,pcs,4,,,,,,,,,,
,,,,1702125,Timing Belt-950x5mx25m,pcs,2,,,,,,,,,,
,,,,1702134,Timing Belt-1440x8mx20m,pcs,2,,,,,,,,,,
,,,,1702372,Timing Belt-1270x5mx25m,pcs,2,,,,,,,,,,
,,,,1702324,Timing Belt-960x8mx20m,pcs,3,,,,,,,,,,
,,,,1702020,Timing Belt-1200x8mx20m,pcs,3,,,,,,,,,,
,,,,1702382,Timing Belt-2000x5mx25m,pcs,2,,,,,,,,,,
,,,,1702138,Timing Belt-850Hx200mm,pcs,3,,,,,,,,,,
,,,,1702292,Timing Belt-700Hx150m,pcs,2,,,,,,,,,,
,,,,1702380,Timing Belt-800x5x20mm,pcs,2,,,,,,,,,,
,,,,1702145,Timing Belt-1248x8x20mm,pcs,2,,,,,,,,,,
,,,,1702146,Timing Belt-3200x8x20mm,pcs,2,,,,,,,,,,
