Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,,Third Ruler Short ,Pcs,2,,,,,,,,,,
,,,,,Fluted Ruler OE,Pcs,1,,,,,,,,,,
,,,,,Third Ruller OE,Pcs,1,,,,,,,,,,
,,,,,Pocket Rod ,Pcs,1,,,,,,,,,,
,,,,,Back Roller Head Plug,Pcs,1,,,,,,,,,,
,,,,,Bvel Gear -47Teeth ,Pcs,2,,,,,,,,,,
,,,,,Bobing Swing Arm,Pcs,1,P/N-08674,,,,,,,,,
,,,,,Top swing Arm ,Pcs,5,P/N-1844A,,,,,,,,,
,,,,,Connecting Gear for Reversing gear-24T,Pcs,2,,,,,,,,,,
,,,,,DOG(P/N-1851),Pcs,5,,,,,,,,,,
,,,,,Bevel Gear -42Teeth,Pcs,4,,,,,,,,,,
,,,,,Tension Spring HUB Assy ,Pcs,5,,,,,,,,,,
,,,,,Coupling with Bracket,Pcs,2,,,,,,,,,,
,,,,,Bearing House -1207K,Pcs,1,,,,,,,,,,
,,,,,Middle Roller Shaft GE,Pcs,1,,,,,,,,,,
,,,,,Fiber Gear Hub Assy -103Teeth,pcs,1,,,,,,,,,,
,,,,,Fiber Gear Hub Assy -70Teeth,Pcs,1,,,,,,,,,,
,,,,,Bevel Gear -42Teeth Right side,Pcs,6,,,,,,,,,,
,,,,,Helical Gear - 31Teeth,Pcs,1,,,,,,,,,,
,,,,,Driving Shaft for Bobbin Gear with waser,Pcs,18,,,,,,,,,,
,,,,17.17.74,Universal Joint Shaft ,Pcs,1,,,,,,,,,,
,,,,,P/N-72103-30001,,,,,,,,,,,,
800000,,,,08.01.015,S.S wire net -40'',sft,70,,,,,,,,,,
,,,,17.03.028,5mm Alen key Bolt- 6x25mm,Pcs,90,,,,,,,,,,
,,,,,Star Screw-1/2'',Pcs,500,,,,,,,,,,
,,,,17.07.036,Syn. Rubber Cots- 20x34x180,Pcs,10,,,,,,,,,,
,,,,17.07.036,Syn. Rubber Cots- 22x36x180,Pcs,24,,,,,,,,,,
,,,,,Slide Back,Pcs,5,,,,,,,,,,
